1,""
2,An artist's workshop
3,Her favourite blue jersey
4,An endless supply of pen and paper.
5,My Clarinet
6,"Endless supply of leaf tea, teapot, mug  and semi skimmed milk."
7,Sex and the City DVD box set
8,A torch
9,Tweezers
10,A bespoke statue of Archbishop Desmond Tutu
11,Cappuccino maker
12,"Paper, pen and watercolours to record the plant life on the island"
13,A solar-powered digital photo album
14,Flute
15,mosquito repellent
16,Paints and paper
17,Her entire outfit including her Andrew Logan Brooch
18,Hot water bottle
19,A bronze sculpture by Giles Penny
20,A solar powered word processor
21,A cut glass crystal chandelier with candles.
22,Eau de Soir perfume by Sisley
23,Omamori Gohonzon
24,The War Memorial outside Euston Station
25,extra virgin oil
26,A photo album of all my family
27,Life-size laminated photo of James Caan from Dragons' Den
28,Cyanide pill
29,Pen and paper
30,Grand piano and a stool
31,Mother and Child by Henry Moore
32,Shotgun
33,Shiny white paper and felt pens
34,A saucepan - heavy bottomed with a removable handle
35,A telescope
36,A Scrabble board
37,The Elgin Marbles
38,A set of different fragrances from the people I love'
39,A luxurious bathroom
40,A piano
41,A fluffy purple worm (which has been taken everywhere)
42,An abundance of paper and pencils
43,Yellow Lamborghini
44,Ink and a pen
45,Wise potato chips
46,A bath
47,A lot of paper and pencils
48,A rose bush
49,Notebook and Pens
50,A private screening room with movies
51,A flush toilet
52,A jar of Hellman&#x2019;s mayonnaise
53,Strings and strings of false pearls
54,Typewriter and paper
55,Lots of champagne and pistachio nuts
56,The Crown Jewels
57,"A nice bed with comfortable mattress, sheets  mosquito net."
58,Suncream
59,An open-air cinema with a selection of films
60,A complete artist's set
61,Pens and Paper
62,Old-fashioned diary with pens
63,My own pillow
64,A bumper book of Suduko with blank pages  pens
65,Cinema organ
66,Large supply of pencils and pens
67,A barrel of Guerlain Jicky perfume
68,A huge basket of fruit
69,My life for the next thirty years
70,Video camera and film
71,Specially-commissioned John Ward painting of family  friends
72,A church organ
73,A bar of soap
74,Vault of a very good white wine
75,Cristal champagne
76,Her grand piano
77,Family photographs
78,A yoyo
79,An endless supply of tissues
80,Piano
81,A snorkel and Polaroids
82,Eye lash curler
83,"Ink, pen, paper and correction fluid"
84,Continuous supply of very cold  dry white wine
85,PC linked to the internet
86,BBC computer
87,Large supply of chocolate
88,"A wine cellar from All Soul's, Oxford"
89,Coffee
90,A fairground carousel
91,Karaoke machine
92,A huge bed
93,An ice cream maker
94,Modelling clay and tools
95,Photo album of my family
96,A machine to distil whatever is there
97,Negligee
98,Olive oil
99,Solar-powered shower
100,Fragrant body cream
101,A pen which would never run out
102,An enormous amount of garlic with a garlic press
103,Nightdress made of pure white cotton
104,Language tapes to learn Italian and Swahali
105,Writing materials
106,Her own bed
107,Yes Minister and Yes Prime Minister videos
108,iPod
109,Bath with soap and towels
110,A cup of jasmine tea
111,Pencils and thick paper to write and draw on
112,Chaise longue with a mosquito net attached
113,A karaoke machine
114,A library
115,Snorkelling equipment
116,"Liquid Temazepam ""...to give me the possibility of a very pleasant exit"""
117,"Bag of eye make-up, especially mascara"
118,Family photograph album
119,A huge vat of Culpepers Rose Geranium bath salts
120,A pair of mules by Christian Louboutin
121,A solar-powered vibrator
122,"Recordings of her daughter and ""her love"" reading self-written stories and poetry"
123,An endless supply of notebooks and pens
124,A big hat with a lot of muslin
125,Pencils and paper
126,Claret
127,The perfume Knowing by Estee Lauder
128,Perfume
129,Van Gogh's Irises
130,An orange tree
131,Tapestry making kit
132,Hot-water bottle
133,Astronimical telescope with 'Catalogue Of Nebulae'
134,BBC Radio 5 Live
135,A notebook and pencil
136,Red lipstick
137,The full collection of Ordnance Survey maps of the British Isles
138,A snorkelling suit with prescription goggles
139,"Egg tempura paints, brushes, and boards to paint on"
140,Box of watercolour paints
141,Swedish wooden horse
142,Unlimited supply of sun block (nicely scented)
143,Clockwork radio tuned to Radio 4
144,Downy pillow
145,Pencil and paper
146,Oil paints and brushes
147,Banjo with plastic head with an inexhaustible supply of strings  pegs
148,Painting by Maurice Cockerill - Ariadne&#x2019;s Thread
149,Endless supply of coffee
150,Five juggling balls
151,Painting by Titian: Bacchus  Ariadne
152,A trowel for digging
153,Book on how to sketch and some paper and pens
154,Rollercoaster
155,Pen and unlimited paper
156,Solar laptop
157,Roses
158,A garden
159,Grand piano (and music scores)
160,Cat food
161,Wind-up radio
162,Ballroom and robotic dance instructor
163,Tea service with tea
164,Varieties of tea and a tea-making outfit
165,(Hot) shower
166,Radio to listen to the World Service
167,To be missed by the people she loves
168,A globe
169,Cigarettes and whisky
170,A chaise longue by a window
171,Paper and pens (with thick nibs)
172,An Atkinson Grimshaw painting
173,Sun block
174,Jaguar XK8
175,A French restaurant in full working order
176,A handful of cannabis seeds
177,The Man with a Glove painting by Titian
178,Basil Brush films and projector
179,A very comfortable sofa
180,Goose down duvet
181,Rosary beads
182,Word processor
183,Family photo album
184,Photo of an Irish cottage
185,Sampler to record the noises of the island
186,Solar-powered refrigerator full of champagne
187,Big bag of plaster to make heads of friends
188,A bed
189,An endless supply of curry
190,Teddy bear stuffed with tea and lily of the valley
191,Teddy bear stuffed with tea bags
192,Tribute Heads By Elisabeth Frink
193,Toothbrush and toothpaste
194,Cellar of wines and a corkscrew
