Jamie Cullum
Anna Ford
Jackie Mason
Patsy Rodenburg
Brian Moore
Baron Prescott of Kingston upon Hull
James Corden
Denise Lewis
David Attenborough
Vikram Seth
Paul Johnson
Dame Monica Mason
Terry Wogan
Professor Brian Cox
Julian Fellowes Baron Fellowes of West Stafford
Eve Pollard
Sir Martin Sorrell
Bear Grylls
Robert Hardy
Anna Scher
Francesca Simon
Victor Adebowale Baron Adebowale of Thornes
Mark Gatiss
Michael Johnson
Vidal Sassoon
Anne Wood
Arthur Edwards
Martin Clunes
Danny Baker
Heather Rabbatts
Michael McIntyre
Reverend John Graham
Tony Robinson
Dame Harriet Walter
Len Goodman
Andrea Levy
Alfie Boe
Roger Waters
Debbie Harry
Kwame Kwei-Armah
Molly Parkin
Professor David Phillips
Cath Kidston
Felicity Green
Terry Gilliam
Martin Sheen
Dame Anne Owers
Lawrence Dallaglio
Celia Imrie
Howard Jacobson
Jon Snow
Betty Driver
Rt Hon Alex Salmond
Gyles Brandreth
Tony Iveson
Sandie Shaw
Nick Park
Sir Torquil Norman
Frances Wood
Robert Harris
Alice Cooper
Anna del Conte
Ian McMillan
Lang Lang
Rt Hon Nick Clegg MP
Michael Mansfield QC
Sarah Doukas
Johnny Vegas
Sir Tom Jones
Kathy Burke
Lord Cobbold
Jimmy Mulville
Lynn Barber
Tim Robbins
Dr Gwen Adshead
Dame Fanny Waterman
Tony Adams
Lewis Gilbert
Frank Skinner
Gyorgy Pauk
Dame Stephanie Shirley
Rob Brydon
Fay Weldon
Emma Thompson
Frank Cottrell-Boyce
Duncan Bannatyne
Maggie Aderin-Pocock
June Spencer
Sir Clive Woodward
Professor Jim Al-Khalili
Gok Wan
Mary Beard
Frank Warren
James Ellroy
Mary Portas
John Copley
David Tennant
Sir Michael Caine
Lord Sebastian Coe
Rt Hon Baroness Scotland
Morrissey
Sir Stuart Rose
Julia Donaldson
Anthony Julius
Jerry Springer
Professor Colin Pillinger
Jan Pienkowski
Steve Coogan
Dame Ellen MacArthur
Barry Manilow
Roberto Alagna
Dame Joan Bakewell
Nicky Haslam
Hugh Fearnley-Whittingstall
David Mitchell
Professor Hugh Pennington
Harvey Goldsmith
Arlene Phillips
Martin Shaw
Lord Denis Healey
Piers Morgan
Countess Caroline Of Cranbrook
Barry Humphries
Peter Sallis
Whoopi Goldberg
Sebastian Faulks
Athene Donald
Baaba Maal
Richard Madeley
Lord Rix
David Walliams
Professor Dame Kay Davies
David Suchet
Thomas Quasthoff
Alan Sillitoe
Rt Hon Vincent Cable MP
Ruth Padel
Simon Murray
Baroness Haleh Afshar
James Nesbitt
Michael Deeley
Marcus Du Sautoy
Michael Eavis
Janet Street-Porter
Rt Hon David Davis MP
Allan Ahlberg
Shami Chakrabarti
Ian Bostridge
Randy Newman
Sanjeev Bhaskar
David McVicar
Miriam Margolyes
Ruthie Henshall
A C Grayling
Richard Ingrams
Lady Antonia Fraser
John Stefanidis
Felicity Lott
Antonio Carluccio
Posy Simmonds
Ara Darzi
Peter Carey
Bill Bailey
Lord Woolf
Howard Goodall
Diane Abbott MP
Annie Lennox
Penelope Wilton
Stanley McMurtry
Tariq Ali
Liz Smith
Michael Ball
David Dimbleby
Martin Evans
Oleg Gordievsky
Dame Beryl Bainbridge
Rory Stewart
Simon Rattle
John Humphrys
Karren Brady
Victoria Wood
Paul Weller
Alec Jeffreys
Steven Isserlis
Armistead Maupin
Eliza Manningham-Buller
Jung Chang
Nicholas Parsons
Lord Joffe
Ronnie Corbett
Jill Balcon
Rt Hon Alan Johnson MP
George Michael
Vladimir Jurowski
Felix Dennis
Andrew Davies
Nicola Horlick
Thomas Keneally
Oliver Postgate
Simon Russell Beale
Wangari Maathai
Ricky Gervais
Christy Moore
Yoko Ono
Tom Blundell
Paul McKenna
Greg Dyke
Joanna Lumley
Ben Helfgott
Professor Raymond Tallis
Jo Brand
Andy Kershaw
J P Donleavy
Andrew Neil
Grayson Perry
Paul Abbott
Neil Tennant
Brian Aldiss
Ann Daniels
Edna O'Brien
Lady Natasha Spender
Anthony Horowitz
Gloria Hunniford
Arnold Wesker
Karl Jenkins
Raymond Gubbay
Matt Lucas
Stephen King
Lord Stevens
Humphrey Lyttelton
Heston Blumenthal
Camila Batmanghelidjh
Robert Fisk
Jane Horrocks
Quentin Blake
Dame Joan Plowright
A A Gill
Simon Cowell
Michael Rosen
David Edgar
Dr Hanna Segal
Ian Rankin
Monty Don
Lord Browne
Peter Mansfield
George Davies
Armando Iannucci
Rt Hon David Cameron MP
Sir Digby Jones
Darcey Bussell
