1,,
2,"Maya Angelou","I Know Why the Caged Bird Sings by"
3,,"Reader's Digest - The Most Amazing Gardens in Britain and Ireland"
4,,"A book on practical survival."
5,,"100 Masterpieces of Art"
6,,"Staying Alive: real poems for unreal times"
7,,"A large anthology of poetry"
8,"Oprah Winfrey","Oprah: An Autobiography by"
9,,"A special compilation of all of David Attenborough's books"
10,,"Maritime Intelligence and Publications"
11,"Nicholas Albery","A Poem for the Day by"
12,"Anthony Trollope","The Eustace Diamonds by"
13,"Georgette Heyer","Cotillion by"
14,"Jane Austen","Pride and Prejudice by"
15,"Isabella Bird","Complete works - Isabella Bird by"
16,,"Roget's Thesaurus"
17,"Leo Tolstoy","War and Peace by"
18,"Sophie Parkin","The History of the Colony by"
19,,"The Larousse French/English dictionary"
20,"Stephen Sondheim","Finishing the Hat  by"
21,,"An Anthology of British poetry"
22,,"The Brewer&#x2019;s Dictionary of  Phrase and Fable"
23,"Dame Daphne Du Maurier","Rebecca by"
24,"Daisaku Ikeda","Lecture on The Heritage of the Ultimate Law of Life by"
25,,"A copy of Chinese dictionary Cihai, (which means Sea of Words) from the 1930s"
26,"Giuseppe di Lampedusa","The Leopard  by"
27,"Bruce Chatwin","The Songlines by"
28,"Graham Linehan","The complete works by"
29,"F. Scott Fitzgerald","The complete works by"
30,,"Biggest book of poetry available"
31,"George Grossmith","The Diary of a Nobody by"
32,"A.A. Milne","Winnie the Pooh by"
33,"Benjamin Hall Kennedy","Kennedy's Latin Primer by"
34,,"Kennedy's Latin Primer"
35,Homer,"Odyssey  by"
36,"Olaf Stapledon","Star Maker  by"
37,"Jerome K Jerome","Three Men in a Boat by"
38,"Marjorie Caygill","Treasures of the British Museum  by"
39,Rumi,"Works by"
40,,"A bound version of her children's (and their cousins') prose and poems."
41,"Wendy Cope","Poem for the day by"
42,"John 'Lofty' Wiseman","SAS Survival Handbook by"
43,"James Joyce","The collected works by"
44,"Louisa May Alcott","Little Women by"
45,"Dorothy Hartley","Food in England by"
46,"Raine Maria Rilke","Letters to a Young Poet  by"
47,"Dorothy Dunnett","The Lymond Novels by"
48,"Alan Bennett","Untold Stories by"
49,Homer,"The Iliad by"
50,Hafiz,"Collected poems by"
51,Hamlyn,"Larousse Gastronomique by"
52,"Harper Lee","To Kill A Mocking Bird by"
53,"Charles Dickens","Little Dorrit by"
54,"Oscar Wilde","The Selfish Giant by"
55,"Walter Scott","The complete works by"
56,Virgil,"Aeneid (in Latin) by"
57,"Victor Hugo","Les Miserables by"
58,,"Four volumes of the London Telephone Directory"
59,,"Volumes of architectural and historical surveys of London"
60,"Eckhart Tolle","Power of Now by"
61,,"An anthology of 20th Century European poetry"
62,,"A very large catalogue"
63,"John Hunter","The Case Books by"
64,"Apsley Cherry-Garrard","The Worst Journey in the World by"
65,"Charles Dickens","A big book by"
66,"Arthur Marshall","The collected works by"
67,"Ted Hughes","The Rattlebag: An Anthology of Poetry by"
68,"Thomas Hardy","The collected works by"
69,"Paulo Coelho","The Alchemist by"
70,,"The Koran"
71,"Wu Cheng'en","Sai-Yu-Ki (Monkey: Journey to the West) by"
72,,"A huge atlas"
73,"Anthony Powell","A Dance to the Music of Time by"
74,"Edward Gibbon","The Decline and Fall of the Roman Empire by"
75,"James Joyce","Ulysses by"
76,,"Complete Encyclopaedia Britannica"
77,"Walter de la Mare","Desert Islands: An Anthology by"
78,"Jean Paul Sartre","Being and Nothingness by"
79,"Jamie Oliver","Jamie's Dinners by"
80,"Marcel Proust","Remembrance of Things Past by"
81,"Aldous Huxley","Three novels by"
82,"Marcel Proust","In Search of Lost Time by"
83,,"A biography of Audrey Hepburn"
84,,"A reference book on the natural history of the island"
85,"John Milton","Complete Works by"
86,"W H Auden","Collection by"
87,"W B Yeats","Collected poems by"
88,,"A Set of Encyclopaedias"
89,"Richmal Crompton","The Complete Works of Just William by"
90,"C S Lewis","The Lion, Witch and the Wardrobe by"
91,"Katherine Mansfield","The collected works by"
92,,"A dictionary"
93,"Thomas Mann","The Magic Mountain by"
94,,"Reading Lyrics - American Songs 1900-1975"
95,,"A book on astronomy"
96,,"""A book which is in my head about my brother"""
97,"Bill Bryson","A Short History of Nearly Everything  by"
98,"William Faulkner","Her favourite works by"
99,,"Primer to learn Italian and tape"
100,"Captain Cook","Journals by"
101,"Ted Hughes","Birthday Letters by"
102,,"An English Dictionary"
103,"G H R Parkinson","Spinoza: Ethics by"
104,"P G Wodehouse","Completed Works by"
105,"Emily Eden","Semi-attached Couple by"
106,"David Burnie","Animal - the Definitive Visual Guide to the World&#x2019;s Wildlife by"
107,"Bill Travers","On Playing with Lions by"
108,"William Makepeace Thackeray","Vanity Fair by"
109,"Paulo Coelho","The Alchemist  by"
110,"Robert Hughes","The Fatal Shore by"
111,,"A book to identify birdlife on the island"
112,,"A book to learn good English"
113,,"A big, beautiful coffee table book of pictures by impressionists"
114,"Yann Arthus-Bertrand","The Earth from the Air by"
115,,"Blank book"
116,,"Book on tropical fish to identify them"
117,"Dante Alighieri","Divine Comedy (in Italian) by"
118,"Charles Dickens","David Copperfield by"
119,"Emily Bronte","Wuthering Heights by"
120,,"Hindi-English dictionary"
121,,"Stories from 1001 Arabian Nights - traditional"
122,"Jane Austen","Sense and Sensibility by"
123,"Charles Ray","World of Wonder: 10,000 things every child should know by"
124,"Eckhart Tolle","The Power of Now by"
125,"Thomas Malthus","Essay on population by"
126,"Anton Chekhov","Collected plays by"
127,"John Le Carre","Novels by"
128,"Alan Walker","Liszt biography by"
129,"George Eliot","Middlemarch by"
130,"John Drummond","Speaking of Diaghilev  by"
131,"Elizabeth Knowles","The Oxford Dictionary of Quotations by"
132,"Lawrence Kelly","Diplomacy and Murder in Tehran - Alexander Griboyedov and Imperial Russia's Mission to the Shah of Persia.  by"
133,"Thomas Moore","Utopia by"
134,Thomson,"The Mabinogi (in modern Welsh) by"
135,,"Her own book on Venice"
136,"Peter Ackroyd","Dickens by"
137,,"A specially commissioned complete history of art book, with sections by John Berger, David Hockney and Jeanette Winterson among others"
138,"Melvyn Bragg","Vision: 50 Years of Creativity by"
139,"W G Hoskins","The Making of the English Landscape by"
140,"Professor Colin Blakemore","The Oxford Companion to the Body by"
141,"Christopher Lee","This Sceptred Isle  by"
142,"J M Roberts","History of the World by"
143,,"The Oxford Companion to Music"
144,"Russel Page","The Education of a Gardener by"
145,"Philip Larkin","Collected Poems by"
146,"Marcel Proust","A La Recherche Du Temps by"
147,"Lewis Grassic Gibbon","A Scots Quair by"
148,"Arnold Bennett","Old Wives Tale by"
149,"Marcel Proust","A La Recherche Du Temps Perdu by"
150,"J K RowlingCharles Dickens","Harry Potter book by 
Little Dorrit by"
151,,"A guide to edible foods on a desert island"
152,"Simon Schama","Embarrassment of Riches by"
153,"Fyodor Dostoyevsky","The Brothers Karamazov by"
154,,"SAS Survival Guide"
155,"Dorothy L Sayers","Nine Tailors by"
156,"Jane Austen","Emma by"
157,"Samuel Pepys","Complete diaries by"
158,"Marcel Proust","A title by"
159,,"The Girl Guides' Handbook"
160,"J R R Tolkien","The Lord of the Rings by"
161,Saki,"Complete Works  by"
162,"Gabriel Garcia Marquez","100 Years of Solitude  by"
163,"John Donne","The collected works by"
164,,"Anthology of poetry"
165,"Thomas Gray","Collected Poems by"
166,"Richard McCain","Poet for Poet  by"
167,"Isaiah Berlin","The Proper Study of Mankind by"
