"Episode ID","Record ID",Choice,Fav
2,1,1,1
2,2,2,0
2,3,3,0
2,4,4,0
2,5,5,0
2,6,6,0
2,7,7,0
2,8,8,0
3,9,1,0
3,10,2,0
3,11,3,0
3,12,4,0
3,13,5,1
3,14,6,0
3,15,7,0
3,16,8,0
4,17,1,1
4,18,2,0
4,19,3,0
4,20,4,0
4,21,5,0
4,22,6,0
4,23,7,0
4,24,8,0
5,25,1,0
5,26,2,1
5,27,3,0
5,28,4,0
5,29,5,0
5,30,6,0
5,31,7,0
5,32,8,0
6,33,1,0
6,34,2,0
6,35,3,0
6,36,4,0
6,37,5,0
6,38,6,0
6,39,7,1
6,40,8,0
7,41,1,0
7,42,2,0
7,43,3,0
7,44,4,1
7,45,5,0
7,46,6,0
7,47,7,0
7,48,8,0
8,49,1,0
8,50,2,0
8,51,3,0
8,52,4,0
8,53,5,0
8,54,6,0
8,55,7,1
8,56,8,0
9,57,1,0
9,58,2,0
9,59,3,0
9,60,4,0
9,61,5,0
9,62,6,0
9,63,7,0
9,64,8,1
10,65,1,0
10,66,2,0
10,67,3,0
10,68,4,1
10,69,5,0
10,70,6,0
10,71,7,0
10,72,8,0
11,73,1,0
11,74,2,0
11,75,3,1
11,76,4,0
11,77,5,0
11,78,6,0
11,79,7,0
11,80,8,0
12,81,1,0
12,82,2,0
12,83,3,0
12,84,4,0
12,85,5,0
12,86,6,0
12,87,7,0
12,88,8,1
13,89,1,0
13,90,2,0
13,91,3,0
13,92,4,0
13,93,5,0
13,94,6,1
13,95,7,0
13,96,8,0
14,97,1,1
14,98,2,0
14,99,3,0
14,100,4,0
14,101,5,0
14,102,6,0
14,103,7,0
14,104,8,0
15,105,1,0
15,106,2,0
15,107,3,0
15,108,4,0
15,109,5,0
15,110,6,0
15,111,7,0
15,112,8,1
16,113,1,0
16,114,2,0
16,115,3,0
16,116,4,0
16,117,5,1
16,118,6,0
16,112,7,0
16,119,8,0
17,120,1,0
17,121,2,0
17,122,3,0
17,123,4,0
17,124,5,0
17,125,6,0
17,126,7,0
17,127,8,1
18,128,1,0
18,129,2,0
18,130,3,0
