1,Beverley Knight,Fallen Soldier,Composer: Beverley Knight
2,Desmond Dekker  The Aces,Israelites,Composer: Desmond Dekker and Leslie Kong
3,Cliff Richard  The Shadows,Summer Holiday,Composer: Bruce Welch / Brian Bennett
4,Percy Sledge,Warm and Tender Love,Composer: Robinson
5,Etta James,At Last,Composer: Warren/Gordon/Robin
6,Garth Hewitt,You Are Loved Stephen Lawrence,Composer: Garth Hewitt
7,Garnett Silk,Mama Africa,"Composer: T Otto 
D BROWNE 
D Richards 
B Dixon 
Thiam Aliaune"
8,Eric Clapton,Tears in Heaven,Composer: Clapton / Jennings
9,Frank Sinatra,Who Wants to be a Millionaire,"With Celeste Holm
Composer: Cole Porter / Saul Chaplin"
10,Sir Hubert Parry,I was Glad,Artist: English Chamber Orchestra conducted by Martin Neary
11,Belle Stewart,Leezie Lindsay,Composer: Harry Lauder
12,Fred Astaire,Night and Day,Composer: Cole Porter
13,Tom Lehrer,Vatican Rag,Composer: Tom Lehrer
14,Wolfgang Amadeus Mozart,Non Piu Andrai,Artist: Teddy Tahu Rhodes  the Tasmanian Symphony Orchestra conducted by Ola Rudner
15,Jessie Seymour Irvine,"The Lord&#x2019;s My Shepherd, hymn (&#x201C;Crimond&#x201D;)",Artist: Norwich Cathedral Choir
16,Morecambe  Wise,Bring Me Sunshine,Composer: Arthur Kent with lyrics by Sylvia Dee
17,Louis Armstrong,What a Wonderful World,Composer: Weiss/Douglas
18,Charles Trenet,La Mer,Composer: Charles Trenet
19,The Duckworth Lewis Method,Jiggery Pokery,Composer: Edwin Sykes
20,Sergei Sergeyevich Prokofiev,Dance of the Knights,Artist: The Chicago Symphony Orchestra conducted by Sir Georg Solti
21,Jim Bryant and Marni Nixon,One Hand One Heart,Composer: Leonard Bernstein  Stephen Sondheim
22,Joseph Canteloube,Bailero,Artist: Victoria de Los Angeles with the Lamoureux Concert Orchestra conducted by Jean Pierre Jacquillat
23,The company of the original London Cast,One day More,Composer: composed by Jean Claude Schonberg and lyrics by Herbert Kretzmer
24,Lucio Quarantotto  Francesco Sartori,Andrea Bocelli and Sarah Brightman,Artist: Time to Say Goodbye
25,The Lovin' Spoonful,Daydream,Composer: Sebastion/Boone
26,Ludwig van Beethoven,Piano Concerto No.4 in G Major,Artist: Alfred Brendel with the Vienna Pro Musica Orchestra conducted by Heinz Wallberg
27,Acker Bilk,Stranger on the Shore,Composer: Bilk/Mellin
28,Ang&#xE9;lique Kidjo,Sound of the Drums,Composer: Kido/Hebrail
29,Wordsworth,On Westminster Bridge,Artist: arranged by Sarah Jewells and performed by The Riversingers
30,Miles Davis,So What,Composer: M Davis
31,Cleo Laine,On a Clear Day You can See for Ever,Composer: Lerner/ Lane
32,Thomas Tallis,Sancte Deus from Spem in Alium,"Artist: The Tallis Scholars, directed by Peter Phillips"
33,Duke Ellington  His Orchestra,It Don&#x2019;t Mean a Thing if it Ain&#x2019;t got that Swing,Composer: Duke Ellington  Irving Mills
34,Johann Sebastian Bach,Bach Concerto for Two Violins and Strings in D Minor,Artist: Yeudi Menuhin and David Oistrakh conducted with the Great Symphony Orchestra conducted by Alexander Orlov.
35,Dawn Chorus,Seasonal birdsong (sound effects) recorded in May in Kent,""
36,Bob Dylan,Masters of War,Composer: Bob Dylan
37,Isaac Alb&#xE9;niz,Mallorca,Artist: Julian Bream
38,James Taylor,Carolina in My Mind,Composer: Taylor
39,Paul Simon,You can call me Al,Composer: Paul Simon
40,Tino Rossi,J&#x2019;Attendrai,Composer: Oliver/Poterat
41,Gustav Mahler,Mahler: Symphony No.5 &#x2013; the 4th movement,Artist: Berlin Philharmonic conducted by Sir Simon Rattle
42,Sandy Denny,Who knows where the time goes?,Composer: Sandy Denny
43,Ludwig van Beethoven,Beethoven&#x2019;s Symphony No. 7 &#x2013; final movement,Artist: The London Classical Players conducted by Roger Norrington
44,Johann Sebastian Bach,Concerto in E Major for Violin,Artist: Andrew Manze with the Academy of Ancient Music
45,Daniel Evans,Finishing the Hat,Composer: Stephen Sondheim
46,Jean Sibelius,Sibelius Violin Concerto in D Minor - Third Movement,Artist: Nadja Salerno-Sonnenberg with the London Symphony Orchestra conducted by Michael Tilson Thomas
47,Kathleen Ferrier,The Keel Row,Composer: Traditional
48,Johann Sebastian Bach,Bach &#x2013; Prelude to Cello Suite No.1 in G,Artist: Jacqueline Du Pre
49,Diana Ross,Ain&#x2019;t No Mountain High Enough,Composer: Nickolas Ashford/Valerie Simpson
50,Bob Marley,Is this Love,Composer: Marley
51,a-ha,Take On Me,Composer: Waaktaar/Furuholmen/Harket
52,Whitney Houston,One Moment in Time,Composer: Hammond/Bettis
53,Lauryn Hill,To Zion,Composer: Hill
54,JLS,She Makes Me Wanna,"Composer: JLS, BeatGeek, Jimmy Joker, Teddy Sky"
55,India.Arie,Ready for Love,Composer: Arie/Miller
56,Mariah Carey,It&#x2019;s Like That,Composer: Carey/Dupri/Seal/Austin
57,Billie Holiday,All of Me,Composer: Gerald Marks and  Seymour Simons
58,Pyotr Ilyich Tchaikovsky,Overture to Swan Lake,Artist: The Russian State Symphony Orchestra conducted by Dmitry Yablonsky
59,Richard Tauber,You are My Heart&#x2019;s Delight,Composer: Lehar
60,Charlie Kunz,The Harry Lime theme,Composer: Anton Karas
61,Paul Simon,Diamonds on the Soles of her Shoes,Composer: Paul Simon
62,Igor Stravinsky,The Sacrificial Dance from the Rite of Spring,Artist: The Concertgebouw Orchestra of Amsterdam conducted by Colin Davis
63,Heitor Villa-Lobos,The Prelude No.1 in E Minor,Artist: Andres Segovia
64,Gustav Mahler,The ending of Der Abschied &#x2013; The Farewell from The Song of the Earth,Artist: Christa Ludwig  Fritz Wunderlich with the Philharmonia  New Philharmonia Orchestras conducted by Otto Klemperer
65,Gladys Knight  The Pips,Midnight Train to Georgia,Composer: J Weatherly
66,Elvis Presley,Don&#x2019;t Be Cruel,Composer: Blackwell/Presley
67,Ethel Merman,You&#x2019;re Just in Love from the	film Call Me Madam,Composer: Irving Berlin
68,Giacomo Puccini,"Oh, My Beloved Father",Artist: Joan Hammond
69,Stevie Wonder,You are the Sunshine of My Life,Composer: Stevie Wonder
70,Huey Lewis  The News,The Power of Love,Composer: Lewis
71,Gary Shearston,I Get a Kick Out of You,Composer: Porter
72,Louis Armstrong,La Vie en Rose,Composer: Piaf/Louiguy
73,Van Morrison,Brown Eyed Girl,Composer: Van Morrison
74,Topol,"Sunrise, Sunset",Composer: Jerry Bock/ Sheldon Harnick
75,Bob Marley,One Love,Composer: Bob Marley
76,"Martin Luther King, Jr.",I have a dream,Composer: Martin Luther King
77,Buddy Holly,Raining in My Heart,Composer: B  F Bryant
78,"Karl Daymond, accompanied by Alan Mills",Danny Boy,Composer: Trad.
79,T P McKenna,When You Are Old,Composer: Wb Yeats
80,Red Dragon,Compliments on Your Kiss,Composer: L.May/G.Harris/S.Dunbar
81,The Beach Boys,Surfin&#x2019; US,Composer: Berry/Wilson
82,Jacques Brel,Amsterdam,Composer: Jacques Brel
83,Emma Kirkby,Columba Aspexit from a Feather on the Breath of God,Composer: Abbess Hildegard of Bingen
84,Joan Baez,The Trees they Grow So High,Composer: Traditional
85,The Judds,Why Not Me,"Composer: Harlan Howard, Sonny Throckmorton, and Brent Maher"
86,Original Cast Recording,Slap That Bass from Crazy for You,Composer: George and Ira Gershwin
87,Jonathan Dove,Tobias and the Angel,Artist: Darren Abrahams and James Laing with the Young Vic Chorus  Ensemble conducted by David Charles Abell.
88,Mandy Patinkin,Finishing the Hat,Composer: Stephen Sondheim
89,Willard White,Lazy Bones,Composer: Hoagy Carmichael/ Johnny Mercer
90,Clinton Ford,Dance with a Dolly (with a hole in her stocking),"Composer: Shand, Eaton, Leader"
91,Alison Krauss,Down to the River to Pray,Composer: Traditional
92,Wolfgang Amadeus Mozart,Soave sia il vento,"Artist: Delores Ziegler, Dale Duesing and Claudio Desderi with the London Philharmonic Orchestra conducted by Bernard Haitink"
93,Buddy Holly,True Love Ways,Composer: Petty/Holly
94,Antonio Vivaldi,Domine Fili Unigenite,Artist: The New Philharmonia Chorus  Orchestra conducted by Riccardo Muti
95,Herbie Hancock,Imagine,Composer: John Lennon
96,Hugh Laurie,St James Infirmary,Composer: Trad/Primrose)
97,Corinne Bailey Rae,Que Sera Sera,Composer: Jay Livingston and  Ray Evans
98,Bob Dylan,All Along the Watchtower,Composer: Bob Dylan
99,Dinah Washington,You're Nobody Till Somebody Loves You,Composer: Larry Stock/Russ Morgan/James Cavanagh
100,Bob Marley,Natural Mystic,Composer: Bob Marley
101,Vincenzo Bellini,Casta diva (from Norma),Artist: Joan Sutherland
102,Tina Turner,The Best,Composer: H Knight/M Chapman
103,Ali Farka Tour&#xE9;,Bonde,Composer: Toure
104,Jan Garbarek,Parce mihi domine,Composer: Christ&#xF3;bal de Morales
105,Ludwig van Beethoven,Symphony No. 3 in E flat major 'Eroica',Artist: Vienna Philharmonic conducted by Leonard Bernstein
106,Frank Sinatra,Well Did You Evah?,Composer: Cole Porter
107,Ian Charleson,Full Fathom Five,Composer: Guy Woolfenden
108,Sergei Sergeyevich Prokofiev,Dance of the Knights (from Romeo and Juliet),Artist: The London Symphony Orchestra conducted by Andre Previn
109,Jackson Scott and his band Mano de Dios,Volveras,Composer: Roberto Ares  Mano de Dios
110,Fred Astaire,Let's Face the Music and Dance,Composer: Irving Berlin
111,Franz Schubert,Fantasie for Piano for Four Hands in F Minor,Artist: Evgeny Kissin and James Levine
112,Nina Simone,My Baby Just Cares for Me,Composer: Walter Donaldson/ Gus Kahn
113,Frank Sinatra,High Hopes,Composer: J Van Heusen/S Cahn
114,Ska Toons,I&#x2019;m in the Mood for Love,Composer: Fields  McHugh
115,Georgie Fame,Yeh Yeh,Composer: Grant-Patrick-Hendricks
116,St. Paul's Cathedral Choir,Dear Lord and Father of Mankind,Composer: Hubert Parry
117,Martin Phipps,The theme for Small Island television series,Composer: Martin Phipps
118,Bob Marley,Redemption Song,Composer: B Marley
119,Al Green,Let's Stay Together,Composer: Mitchell/Green/Jackson
120,Gossip,Heavy Cross,Composer: Gossip
121,Nina Simone,Strange Fruit,Composer: L. Allen
122,Calvin Harris,Merrymaking at My Place,Composer: Calvin Harris (Wiles)
123,The Velvet Underground,White Light/White Heat,Composer: Lou Reed
124,Fever Ray,When I Grow Up,Composer: Fever Ray
125,Nino Rota,La Passerella from the film 8 1/2,Artist: Riccardo Muti and the original film soundtrack
126,Peaches,Talk to Me,"Composer: Gonzales, Peaches"
127,Gustav Mahler,Symphony No. 5 in C sharp minor - 4th movement (Adagietto),Artist: Berlin Philharmonic conducted by Sir Simon Rattle
128,Bette Midler,Accentuate the Positive,Composer: Harold Arlen &#x2013; music Johnny Mercer
129,Liane Carroll,Three Sheets to the Wind,Composer: Liane Carroll
130,Louis Armstrong,A Kiss to Build a Dream On,Composer: Kalmar/Ruby/Oscar Hammerstein 11
131,Ian Shaw,Somewhere towards love,Composer: Ian Shaw
