1,Ian Hamilton,Keepers Of The Flame
2,Maya Angelou,I Know Why The Caged Bird Sings
3,"",Reader's Digest - The Most Amazing Gardens In Britain And Ireland
4,"",A Book On Practical Survival.
5,"",100 Masterpieces Of Art
6,"",Staying Alive: Real Poems For Unreal Times
7,"",A Large Anthology Of Poetry
8,Oprah Winfrey,Oprah: An Autobiography
9,"",A Special Compilation Of All Of David Attenborough's Books
10,"",Maritime Intelligence And Publications
11,Nicholas Albery,A Poem For The Day
12,Anthony Trollope,The Eustace Diamonds
13,Georgette Heyer,Cotillion
14,Jane Austen,Pride And Prejudice
15,Isabella Bird,Complete Works - Isabella Bird
16,"",Roget's Thesaurus
17,Leo Tolstoy,War And Peace
18,Sophie Parkin,The History Of The Colony
19,"",The Larousse French/english Dictionary
20,Stephen Sondheim,Finishing The Hat
21,"",An Anthology Of British Poetry
22,"",The Brewer's Dictionary Of Phrase And Fable
23,Dame Daphne Du Maurier,Rebecca
24,Daisaku Ikeda,Lecture On The Heritage Of The Ultimate Law Of Life
25,"","A Copy Of Chinese Dictionary Cihai, (which Means Sea Of Words) From The 1930s"
26,Giuseppe Di Lampedusa,The Leopard
27,Bruce Chatwin,The Songlines
28,Graham Linehan,The Complete Works
29,F. Scott Fitzgerald,The Complete Works
30,"",Biggest Book Of Poetry Available
31,George Grossmith,The Diary Of A Nobody
32,A.a. Milne,Winnie The Pooh
33,Benjamin Hall Kennedy,Kennedy's Latin Primer
34,"",Kennedy's Latin Primer
35,Homer,Odyssey
36,Olaf Stapledon,Star Maker
37,Jerome K Jerome,Three Men In A Boat
38,Marjorie Caygill,Treasures Of The British Museum
39,Rumi,Works
40,"",A Bound Version Of Her Children's (and Their Cousins') Prose And Poems.
41,Wendy Cope,Poem For The Day
42,John 'lofty' Wiseman,Sas Survival Handbook
43,James Joyce,The Collected Works
44,Louisa May Alcott,Little Women
45,Dorothy Hartley,Food In England
46,Raine Maria Rilke,Letters To A Young Poet
47,Dorothy Dunnett,The Lymond Novels
48,Alan Bennett,Untold Stories
49,Homer,The Iliad
50,Hafiz,Collected Poems
51,Hamlyn,Larousse Gastronomique
52,Harper Lee,To Kill A Mocking Bird
53,Charles Dickens,Little Dorrit
54,Oscar Wilde,The Selfish Giant
55,Walter Scott,The Complete Works
56,Virgil,Aeneid (in Latin)
57,Victor Hugo,Les Miserables
58,"",Four Volumes Of The London Telephone Directory
59,"",Volumes Of Architectural And Historical Surveys Of London
60,Eckhart Tolle,Power Of Now
61,"",An Anthology Of 20th Century European Poetry
62,"",A Very Large Catalogue
63,John Hunter,The Case Books
64,Apsley Cherry-garrard,The Worst Journey In The World
65,Charles Dickens,A Big Book
66,Arthur Marshall,The Collected Works
67,Ted Hughes,The Rattlebag: An Anthology Of Poetry
68,Thomas Hardy,The Collected Works
69,Paulo Coelho,The Alchemist
70,"",The Koran
71,Wu Cheng'en,Sai-yu-ki (monkey: Journey To The West)
72,"",A Huge Atlas
73,Anthony Powell,A Dance To The Music Of Time
74,Edward Gibbon,The Decline And Fall Of The Roman Empire
75,James Joyce,Ulysses
76,"",Complete Encyclopaedia Britannica
77,Walter De La Mare,Desert Islands: An Anthology
78,Jean Paul Sartre,Being And Nothingness
79,Jamie Oliver,Jamie's Dinners
80,Marcel Proust,Remembrance Of Things Past
81,Aldous Huxley,Three Novels
82,Marcel Proust,In Search Of Lost Time
83,"",A Biography Of Audrey Hepburn
84,"",A Reference Book On The Natural History Of The Island
85,John Milton,Complete Works
86,W H Auden,Collection
87,W B Yeats,Collected Poems
88,"",A Set Of Encyclopaedias
89,Richmal Crompton,The Complete Works Of Just William
90,C S Lewis,"The Lion, Witch And The Wardrobe"
91,Katherine Mansfield,The Collected Works
92,"",A Dictionary
93,Thomas Mann,The Magic Mountain
94,"",Reading Lyrics - American Songs 1900-1975
95,"",A Book On Astronomy
96,"","""a Book Which Is In My Head About My Brother"""
97,Bill Bryson,A Short History Of Nearly Everything
98,William Faulkner,Her Favourite Works
99,"",Primer To Learn Italian And Tape
100,Captain Cook,Journals
101,Ted Hughes,Birthday Letters
102,"",An English Dictionary
103,G H R Parkinson,Spinoza: Ethics
104,P G Wodehouse,Completed Works
105,Emily Eden,Semi-attached Couple
106,David Burnie,Animal - The Definitive Visual Guide To The World's Wildlife
107,Bill Travers,On Playing With Lions
108,William Makepeace Thackeray,Vanity Fair
109,Robert Hughes,The Fatal Shore
110,"",A Book To Identify Birdlife On The Island
111,"",A Book To Learn Good English
112,"","A Big, Beautiful Coffee Table Book Of Pictures By Impressionists"
113,Yann Arthus-bertrand,The Earth From The Air
114,"",Blank Book
115,"",Book On Tropical Fish To Identify Them
116,Dante Alighieri,Divine Comedy (in Italian)
117,Charles Dickens,David Copperfield
118,Emily Bronte,Wuthering Heights
119,"",Hindi-english Dictionary
120,"",Stories From 1001 Arabian Nights - Traditional
121,Jane Austen,Sense And Sensibility
122,Charles Ray,"World Of Wonder: 10,000 Things Every Child Should Know"
123,Thomas Malthus,Essay On Population
124,Anton Chekhov,Collected Plays
125,John Le Carre,Novels
126,Alan Walker,Liszt Biography
127,George Eliot,Middlemarch
128,John Drummond,Speaking Of Diaghilev
129,Elizabeth Knowles,The Oxford Dictionary Of Quotations
130,Lawrence Kelly,Diplomacy And Murder In Tehran - Alexander Griboyedov And Imperial Russia's Mission To The Shah Of Persia.
131,Thomas Moore,Utopia
132,Thomson,The Mabinogi (in Modern Welsh)
133,"",Her Own Book On Venice
134,Peter Ackroyd,Dickens
135,"","A Specially Commissioned Complete History Of Art Book, With Sections By John Berger, David Hockney And Jeanette Winterson Among Others"
136,Melvyn Bragg,Vision: 50 Years Of Creativity
137,W G Hoskins,The Making Of The English Landscape
138,Professor Colin Blakemore,The Oxford Companion To The Body
139,Christopher Lee,This Sceptred Isle
140,J M Roberts,History Of The World
141,"",The Oxford Companion To Music
142,Russel Page,The Education Of A Gardener
143,Philip Larkin,Collected Poems
144,Marcel Proust,A La Recherche Du Temps
145,Lewis Grassic Gibbon,A Scots Quair
146,Arnold Bennett,Old Wives Tale
147,Marcel Proust,A La Recherche Du Temps Perdu
148,J K Rowling,Harry Potter Book
149,"",A Guide To Edible Foods On A Desert Island
150,Simon Schama,Embarrassment Of Riches
151,Fyodor Dostoyevsky,The Brothers Karamazov
152,"",Sas Survival Guide
153,Dorothy L Sayers,Nine Tailors
154,Jane Austen,Emma
155,Samuel Pepys,Complete Diaries
156,Marcel Proust,A Title
157,"",The Girl Guides' Handbook
158,J R R Tolkien,The Lord Of The Rings
159,Saki,Complete Works
160,Gabriel Garcia Marquez,100 Years Of Solitude
161,John Donne,The Collected Works
162,"",Anthology Of Poetry
163,Thomas Gray,Collected Poems
164,Richard Mccain,Poet For Poet
165,Isaiah Berlin,The Proper Study Of Mankind
166,Seamus Heaney,The Collected Works
167,John Donne,Collected Poems
168,G M Trevelyan,History Of England
169,Virginia Woolf,Moments Of Being
170,Emily Dickinson,Collection Of Poems
171,John Carey,The Faber Book Of Reportage
172,Marcel Proust,A La Recherche De Temps Perdu
173,Charles Darwin,Origin Of Species
174,"",Ordnance Survey Map Of The World
175,"",The Book Of Kells
176,Walter De La Mare,Come Hither - An Anthology
177,Virgil,Aeneid
178,"",The History And Creation Of A Japanese Sand Garden
179,F. Scott Fitzgerald,Tender Is The Night
180,Stephen Hawking,A Brief History Of Time
181,Anton Chekhov,The Collected Works
