1,Ahdaf Soueif,http://en.wikipedia.org/wiki/Ahdaf_Soueif,BBC,female,WritingNovelist
2,Doreen Lawrence,http://en.wikipedia.org/wiki/Doreen_Lawrence,BBC,female,Politics and Public ServiceCampaigner
3,Margaret Rhodes,http://en.wikipedia.org/wiki/Margaret_Rhodes,BBC,female,Royal or Aristocracy or PeerPolitics and Public ServiceForeign Affairs
4,Denise Robertson,http://en.wikipedia.org/wiki/Denise_Robertson,BBC,female,WritingJournalism
5,Baroness Hollins,"http://en.wikipedia.org/wiki/Sheila_Hollins,_Baroness_Hollins",BBC,female,"Medicine, Science and EngineeringMedicine"
6,Anna Ford,http://en.wikipedia.org/wiki/Anna_Ford,BBC,female,"Stage, Screen and RadioNewsreader"
7,Patsy Rodenburg,http://en.wikipedia.org/wiki/Patsy_Rodenburg,BBC,female,"Stage, Screen and RadioTheatre"
8,Denise Lewis,http://en.wikipedia.org/wiki/Denise_Lewis,BBC,female,SportAthletics
9,Dame Monica Mason,http://en.wikipedia.org/wiki/Monica_Mason,BBC,female,"Stage, Screen and RadioDance"
10,Eve Pollard,http://en.wikipedia.org/wiki/Eve_Pollard,BBC,female,WritingJournalism
11,Anna Scher,http://en.wikipedia.org/wiki/Anna_Scher_Theatre,BBC,female,"Stage, Screen and RadioTheatre"
12,Francesca Simon,http://en.wikipedia.org/wiki/Francesca_Simon,Found with script,female,WritingChildren's Books
13,Anne Wood,http://en.wikipedia.org/wiki/Anne_Wood,BBC,female,"Stage, Screen and RadioProducer"
14,Heather Rabbatts,http://en.wikipedia.org/wiki/Heather_Rabbatts,BBC,female,Business
15,Dame Harriet Walter,http://en.wikipedia.org/wiki/Harriet_Walter,Found with script,female,"Stage, Screen and RadioActor"
16,Andrea Levy,http://en.wikipedia.org/wiki/Andrea_Levy,BBC,female,WritingNovelist
17,Debbie Harry,http://en.wikipedia.org/wiki/Debbie_Harry,BBC,female,MusicPop and Rock
18,Molly Parkin,http://en.wikipedia.org/wiki/Molly_Parkin,BBC,female,"WritingArt, Fashion and DesignJournalismArt"
19,Cath Kidston,http://en.wikipedia.org/wiki/Cath_Kidston,BBC,female,"Art, Fashion and DesignDesign"
20,Felicity Green,NA,Not found,female,WritingJournalism
21,Dame Anne Owers,http://en.wikipedia.org/wiki/Anne_Owers,BBC,female,Politics and Public Service
22,Celia Imrie,http://en.wikipedia.org/wiki/Celia_Imrie,BBC,female,"Stage, Screen and RadioActorComedy Performer"
23,Betty Driver,http://en.wikipedia.org/wiki/Betty_Driver,BBC,female,"Stage, Screen and RadioActor"
24,Sandie Shaw,http://en.wikipedia.org/wiki/Sandie_Shaw,BBC,female,MusicPop and Rock
25,Frances Wood,http://en.wikipedia.org/wiki/Frances_Wood,BBC,female,Academia and EducationWritingHistory
26,Anna del Conte,http://en.wikipedia.org/wiki/Anna_Del_Conte,BBC,female,WritingFood and Drink
27,Sarah Doukas,NA,Not found,female,"BusinessArt, Fashion and DesignFashion"
28,Kathy Burke,http://en.wikipedia.org/wiki/Kathy_Burke,BBC,female,"Stage, Screen and RadioActorDirectorComedy Performer"
29,Lynn Barber,http://en.wikipedia.org/wiki/Lynn_Barber,BBC,female,WritingJournalism
30,Dr Gwen Adshead,NA,Not found,female,"Medicine, Science and EngineeringMedicine"
31,Dame Fanny Waterman,http://en.wikipedia.org/wiki/Dame_Fanny_Waterman,BBC,female,MusicBusinessClassical MusicEntrepreneurPianist
32,Dame Stephanie Shirley,http://en.wikipedia.org/wiki/Dame_Stephanie_Shirley,BBC,female,BusinessPolitics and Public ServiceEntrepreneur
33,Fay Weldon,http://en.wikipedia.org/wiki/Fay_Weldon,BBC,female,Writing
34,Emma Thompson,http://en.wikipedia.org/wiki/Emma_Thompson,BBC,female,"Stage, Screen and RadioWritingActorPlaywright or ScreenwriterComedy Performer"
35,Maggie Aderin-Pocock,http://en.wikipedia.org/wiki/Maggie_Aderin-Pocock,BBC,female,"Medicine, Science and EngineeringScience"
36,June Spencer,http://en.wikipedia.org/wiki/June_Spencer,BBC,female,"Stage, Screen and RadioActor"
37,Mary Beard,http://en.wikipedia.org/wiki/Mary_Beard_(classicist),BBC,female,Academia and Education
38,Mary Portas,http://en.wikipedia.org/wiki/Mary_Portas,BBC,female,"BusinessStage, Screen and RadioBroadcasting"
39,Rt Hon Baroness Scotland,http://en.wikipedia.org/wiki/Baroness_Scotland,BBC,female,Politics and Public ServiceMilitary and LawPoliticsLawyer
40,Julia Donaldson,http://en.wikipedia.org/wiki/Julia_Donaldson,BBC,female,WritingChildren's Books
41,Dame Ellen MacArthur,http://en.wikipedia.org/wiki/Dame_Ellen_MacArthur,BBC,female,SportWater SportsSailing
42,Dame Joan Bakewell,http://en.wikipedia.org/wiki/Joan_Bakewell,BBC,female,"Stage, Screen and RadioWritingBroadcastingJournalism"
43,Arlene Phillips,http://en.wikipedia.org/wiki/Arlene_Phillips,BBC,female,"Stage, Screen and RadioDance"
44,Countess Caroline Of Cranbrook,NA,Not found,female,Politics and Public ServiceCampaigner
45,Whoopi Goldberg,http://en.wikipedia.org/wiki/Whoopi_Goldberg,BBC,female,"Stage, Screen and RadioComedy PerformerActor"
46,Athene Donald,http://en.wikipedia.org/wiki/Athene_Donald,BBC,female,"Medicine, Science and EngineeringScience"
47,Professor Dame Kay Davies,http://en.wikipedia.org/wiki/Kay_Davies,BBC,female,"Medicine, Science and EngineeringScience"
48,Ruth Padel,http://en.wikipedia.org/wiki/Ruth_Padel,BBC,female,WritingPoetry
49,Baroness Haleh Afshar,http://en.wikipedia.org/wiki/Haleh_Afshar,BBC,female,Academia and EducationPolitics and Public ServicePolitics
50,Janet Street-Porter,http://en.wikipedia.org/wiki/Janet_Street-Porter,BBC,female,"Stage, Screen and RadioWritingBroadcastingJournalismProducer"
51,Shami Chakrabarti,http://en.wikipedia.org/wiki/Shami_Chakrabarti,BBC,female,Politics and Public ServiceCampaigner
52,Miriam Margolyes,http://en.wikipedia.org/wiki/Miriam_Margolyes,BBC,female,"Stage, Screen and RadioActor"
53,Ruthie Henshall,http://en.wikipedia.org/wiki/Ruthie_Henshall,BBC,female,"MusicStage, Screen and RadioMusicalsActor"
54,Lady Antonia Fraser,http://en.wikipedia.org/wiki/Antonia_Fraser,BBC,female,WritingAcademia and EducationNovelistHistory
55,Felicity Lott,http://en.wikipedia.org/wiki/Felicity_Lott,BBC,female,MusicClassical Music
56,Posy Simmonds,http://en.wikipedia.org/wiki/Posy_Simmonds,BBC,female,"Art, Fashion and DesignArt"
57,Diane Abbott MP,http://en.wikipedia.org/wiki/Diane_Abbott,BBC,female,Politics and Public ServicePolitics
58,Annie Lennox,http://en.wikipedia.org/wiki/Annie_Lennox,BBC,female,MusicPop and Rock
59,Penelope Wilton,http://en.wikipedia.org/wiki/Penelope_Wilton,BBC,female,"Stage, Screen and RadioActor"
60,Liz Smith,http://en.wikipedia.org/wiki/Liz_Smith_(actress),BBC,female,"Stage, Screen and RadioActor"
61,Dame Beryl Bainbridge,http://en.wikipedia.org/wiki/Beryl_Bainbridge,BBC,female,"WritingStage, Screen and RadioNovelist"
62,Karren Brady,http://en.wikipedia.org/wiki/Karren_Brady,BBC,female,Business
63,Victoria Wood,http://en.wikipedia.org/wiki/Victoria_Wood,BBC,female,"Stage, Screen and RadioMusicComedy Performer"
64,Eliza Manningham-Buller,http://en.wikipedia.org/wiki/Eliza_Manningham-Buller,BBC,female,Politics and Public ServicePublic Servant
65,Jill Balcon,http://en.wikipedia.org/wiki/Jill_Balcon,BBC,female,"Stage, Screen and RadioActor"
66,Nicola Horlick,http://en.wikipedia.org/wiki/Nicola_Horlick,BBC,female,Business
67,Wangari Maathai,http://en.wikipedia.org/wiki/Wangari_Maathai,BBC,female,Politics and Public ServicePrizewinner or Record BreakerCampaigner
68,Yoko Ono,http://en.wikipedia.org/wiki/Yoko_Ono,BBC,female,"Art, Fashion and DesignMusicArtPop and Rock"
69,Joanna Lumley,http://en.wikipedia.org/wiki/Joanna_Lumley,BBC,female,"Stage, Screen and RadioActor"
70,Jo Brand,http://en.wikipedia.org/wiki/Jo_Brand,BBC,female,"Stage, Screen and RadioComedy Performer"
71,Ann Daniels,NA,Not found,female,Travel and ExplorationExplorer
72,Edna O'Brien,http://en.wikipedia.org/wiki/Edna_O%27Brien,BBC,female,WritingNovelist
73,Lady Natasha Spender,http://en.wikipedia.org/wiki/Natasha_Spender,BBC,female,MusicClassical MusicPianist
74,Gloria Hunniford,http://en.wikipedia.org/wiki/Gloria_Hunniford,BBC,female,"Stage, Screen and RadioBroadcasting"
75,Camila Batmanghelidjh,http://en.wikipedia.org/wiki/Camila_Batmanghelidjh,BBC,female,Politics and Public ServiceCampaigner
76,Jane Horrocks,http://en.wikipedia.org/wiki/Jane_Horrocks,BBC,female,"Stage, Screen and RadioActor"
77,Dame Joan Plowright,http://en.wikipedia.org/wiki/Joan_Plowright,BBC,female,"Stage, Screen and RadioActor"
78,Dr Hanna Segal,http://en.wikipedia.org/wiki/Hanna_Segal,Found with script,female,"Medicine, Science and EngineeringMedicine"
79,Darcey Bussell,http://en.wikipedia.org/wiki/Darcey_Bussell,BBC,female,"Stage, Screen and RadioDance"
80,Rachel Whiteread,http://en.wikipedia.org/wiki/Rachel_Whiteread,BBC,female,"Art, Fashion and DesignArt"
81,Karen Armstrong,http://en.wikipedia.org/wiki/Karen_Armstrong,BBC,female,WritingAcademia and Education
82,Shirley Williams,http://en.wikipedia.org/wiki/Shirley_Williams,BBC,female,Politics and Public ServiceWritingPolitics
83,Kelly Holmes,http://en.wikipedia.org/wiki/Kelly_Holmes,BBC,female,SportPrizewinner or Record BreakerAthletics
84,Maggi Hambling,http://en.wikipedia.org/wiki/Maggi_Hambling,BBC,female,"Art, Fashion and DesignArt"
85,Renee Fleming,http://en.wikipedia.org/wiki/Ren%C3%A9e_Fleming,BBC,female,MusicClassical MusicOpera
86,Jacqueline Wilson,http://en.wikipedia.org/wiki/Jacqueline_Wilson,BBC,female,WritingChildren's Books
87,Brenda Blethyn,http://en.wikipedia.org/wiki/Brenda_Blethyn,BBC,female,"Stage, Screen and RadioActor"
88,Ruby Wax,http://en.wikipedia.org/wiki/Ruby_Wax,BBC,female,"Stage, Screen and RadioBroadcastingComedy Performer"
