1,Paper And Coloured Pens
2,An Artist's Workshop
3,Her Favourite Blue Jersey
4,An Endless Supply Of Pen And Paper.
5,My Clarinet
6,"Endless Supply Of Leaf Tea, Teapot, Mug And Semi Skimmed Milk."
7,""
8,Sex And The City Dvd Box Set
9,A Torch
10,Tweezers
11,A Bespoke Statue Of Archbishop Desmond Tutu
12,Cappuccino Maker
13,"Paper, Pen And Watercolours To Record The Plant Life On The Island"
14,A Solar-powered Digital Photo Album
15,Flute
16,Mosquito Repellent
17,Paints And Paper
18,Her Entire Outfit Including Her Andrew Logan Brooch
19,Hot Water Bottle
20,A Bronze Sculpture By Giles Penny
21,A Solar Powered Word Processor
22,A Cut Glass Crystal Chandelier With Candles.
23,Eau De Soir Perfume By Sisley
24,Omamori Gohonzon
25,The War Memorial Outside Euston Station
26,Extra Virgin Oil
27,A Photo Album Of All My Family
28,Life-size Laminated Photo Of James Caan From Dragons' Den
29,Cyanide Pill
30,Pen And Paper
31,Grand Piano And A Stool
32,Mother And Child By Henry Moore
33,Shotgun
34,Shiny White Paper And Felt Pens
35,A Saucepan - Heavy Bottomed With A Removable Handle
36,A Telescope
37,A Scrabble Board
38,The Elgin Marbles
39,A Set Of Different Fragrances From The People I Love'
40,A Luxurious Bathroom
41,A Piano
42,A Fluffy Purple Worm (which Has Been Taken Everywhere)
43,An Abundance Of Paper And Pencils
44,Yellow Lamborghini
45,Ink And A Pen
46,Wise Potato Chips
47,A Bath
48,A Lot Of Paper And Pencils
49,A Rose Bush
50,Notebook And Pens
51,A Private Screening Room With Movies
52,A Flush Toilet
53,A Jar Of Hellman's Mayonnaise
54,Strings And Strings Of False Pearls
55,Typewriter And Paper
56,Lots Of Champagne And Pistachio Nuts
57,The Crown Jewels
58,"A Nice Bed With Comfortable Mattress, Sheets Mosquito Net."
59,Suncream
60,An Open-air Cinema With A Selection Of Films
61,A Complete Artist's Set
62,Pens And Paper
63,Old-fashioned Diary With Pens
64,My Own Pillow
65,A Bumper Book Of Suduko With Blank Pages Pens
66,Cinema Organ
67,Large Supply Of Pencils And Pens
68,A Barrel Of Guerlain Jicky Perfume
69,A Huge Basket Of Fruit
70,My Life For The Next Thirty Years
71,Video Camera And Film
72,Specially-commissioned John Ward Painting Of Family Friends
73,A Church Organ
74,A Bar Of Soap
75,Vault Of A Very Good White Wine
76,Cristal Champagne
77,Her Grand Piano
78,Family Photographs
79,A Yoyo
80,An Endless Supply Of Tissues
81,Piano
82,A Snorkel And Polaroids
83,Eye Lash Curler
84,"Ink, Pen, Paper And Correction Fluid"
85,Continuous Supply Of Very Cold Dry White Wine
86,Pc Linked To The Internet
87,Bbc Computer
88,Large Supply Of Chocolate
89,"A Wine Cellar From All Soul's, Oxford"
90,Coffee
91,A Fairground Carousel
92,Karaoke Machine
93,A Huge Bed
94,An Ice Cream Maker
95,Modelling Clay And Tools
96,Photo Album Of My Family
97,A Machine To Distil Whatever Is There
98,Negligee
99,Olive Oil
100,Solar-powered Shower
101,Fragrant Body Cream
102,A Pen Which Would Never Run Out
103,An Enormous Amount Of Garlic With A Garlic Press
104,Nightdress Made Of Pure White Cotton
105,Language Tapes To Learn Italian And Swahali
106,Writing Materials
107,Her Own Bed
108,Yes Minister And Yes Prime Minister Videos
109,Ipod
110,Bath With Soap And Towels
111,A Cup Of Jasmine Tea
112,Pencils And Thick Paper To Write And Draw On
113,Chaise Longue With A Mosquito Net Attached
114,A Karaoke Machine
115,A Library
116,Snorkelling Equipment
117,"Liquid Temazepam ""...to Give Me The Possibility Of A Very Pleasant Exit"""
118,"Bag Of Eye Make-up, Especially Mascara"
119,Family Photograph Album
120,A Huge Vat Of Culpepers Rose Geranium Bath Salts
121,A Pair Of Mules By Christian Louboutin
122,A Solar-powered Vibrator
123,"Recordings Of Her Daughter And ""her Love"" Reading Self-written Stories And Poetry"
124,An Endless Supply Of Notebooks And Pens
