1,Hazem Shahine,Rag'een,Artist: Eskenderella
2,Baleegh Hamdi,Emta El-zaman,Artist: Abdel Wahab
3,John Lennon,She Loves You,Artist: The Beatles
4,Wolfgang Amadeus Mozart,"Part Of Mozart's Bassoon Concerto In B Flat Major, K. 191 (rondo: Tempo Di Menuetto","Artist: Stepan Turnovsky, Martin Gabriel, Ernst Ottensamer With The Vienna Mozart Academy Conducted By Johannes Wildner"
5,Baleegh Hamdi,Sawwah,Artist: Abdel Halim Hafez
6,The Eagles,Hotel California,Artist: The Eagles
7,Rahbani Brothers,Zahrat El Mada'en,Artist: Fairuz
8,Baleegh Hamdi,Seeret El-hubb,Artist: Umm Kulthoum
9,Beverley Knight,Fallen Soldier,Composer: Beverley Knight
10,Desmond Dekker The Aces,Israelites,Composer: Desmond Dekker And Leslie Kong
11,Cliff Richard The Shadows,Summer Holiday,Composer: Bruce Welch / Brian Bennett
12,Percy Sledge,Warm And Tender Love,Composer: Robinson
13,Etta James,At Last,Composer: Warren/gordon/robin
14,Garth Hewitt,You Are Loved Stephen Lawrence,Composer: Garth Hewitt
15,Garnett Silk,Mama Africa,Composer: T Otto D Browne D Richards B Dixon Thiam Aliaune
16,Eric Clapton,Tears In Heaven,Composer: Clapton / Jennings
17,Frank Sinatra,Who Wants To Be A Millionaire,With Celeste Holm Composer: Cole Porter / Saul Chaplin
18,Sir Hubert Parry,I Was Glad,Artist: English Chamber Orchestra Conducted By Martin Neary
19,Belle Stewart,Leezie Lindsay,Composer: Harry Lauder
20,Fred Astaire,Night And Day,Composer: Cole Porter
21,Tom Lehrer,Vatican Rag,Composer: Tom Lehrer
22,Wolfgang Amadeus Mozart,Non Piu Andrai,Artist: Teddy Tahu Rhodes The Tasmanian Symphony Orchestra Conducted By Ola Rudner
23,Jessie Seymour Irvine,"The Lord's My Shepherd, Hymn (""crimond"")",Artist: Norwich Cathedral Choir
24,Morecambe Wise,Bring Me Sunshine,Composer: Arthur Kent With Lyrics By Sylvia Dee
25,Louis Armstrong,What A Wonderful World,Composer: Weiss/douglas
26,Charles Trenet,La Mer,Composer: Charles Trenet
27,The Duckworth Lewis Method,Jiggery Pokery,Composer: Edwin Sykes
28,Sergei Sergeyevich Prokofiev,Dance Of The Knights,Artist: The Chicago Symphony Orchestra Conducted By Sir Georg Solti
29,Jim Bryant And Marni Nixon,One Hand One Heart,Composer: Leonard Bernstein Stephen Sondheim
30,Joseph Canteloube,Bailero,Artist: Victoria De Los Angeles With The Lamoureux Concert Orchestra Conducted By Jean Pierre Jacquillat
31,The Company Of The Original London Cast,One Day More,Composer: Composed By Jean Claude Schonberg And Lyrics By Herbert Kretzmer
32,Lucio Quarantotto Francesco Sartori,Andrea Bocelli And Sarah Brightman,Artist: Time To Say Goodbye
33,The Lovin' Spoonful,Daydream,Composer: Sebastion/boone
34,Ludwig Van Beethoven,Piano Concerto No.4 In G Major,Artist: Alfred Brendel With The Vienna Pro Musica Orchestra Conducted By Heinz Wallberg
35,Acker Bilk,Stranger On The Shore,Composer: Bilk/mellin
36,Angelique Kidjo,Sound Of The Drums,Composer: Kido/hebrail
37,Wordsworth,On Westminster Bridge,Artist: Arranged By Sarah Jewells And Performed By The Riversingers
38,Miles Davis,So What,Composer: M Davis
39,Cleo Laine,On A Clear Day You Can See For Ever,Composer: Lerner/ Lane
40,Thomas Tallis,Sancte Deus From Spem In Alium,"Artist: The Tallis Scholars, Directed By Peter Phillips"
41,Duke Ellington His Orchestra,It Don't Mean A Thing If It Ain't Got That Swing,Composer: Duke Ellington Irving Mills
42,Johann Sebastian Bach,Bach Concerto For Two Violins And Strings In D Minor,Artist: Yeudi Menuhin And David Oistrakh Conducted With The Great Symphony Orchestra Conducted By Alexander Orlov.
43,Dawn Chorus,Seasonal Birdsong (sound Effects) Recorded In May In Kent,""
44,Bob Dylan,Masters Of War,Composer: Bob Dylan
45,Isaac Albeniz,Mallorca,Artist: Julian Bream
46,James Taylor,Carolina In My Mind,Composer: Taylor
47,Paul Simon,You Can Call Me Al,Composer: Paul Simon
48,Tino Rossi,J'attendrai,Composer: Oliver/poterat
49,Gustav Mahler,Mahler: Symphony No.5 - The 4th Movement,Artist: Berlin Philharmonic Conducted By Sir Simon Rattle
50,Sandy Denny,Who Knows Where The Time Goes?,Composer: Sandy Denny
51,Ludwig Van Beethoven,Beethoven's Symphony No. 7 - Final Movement,Artist: The London Classical Players Conducted By Roger Norrington
52,Johann Sebastian Bach,Concerto In E Major For Violin,Artist: Andrew Manze With The Academy Of Ancient Music
53,Daniel Evans,Finishing The Hat,Composer: Stephen Sondheim
54,Jean Sibelius,Sibelius Violin Concerto In D Minor - Third Movement,Artist: Nadja Salerno-sonnenberg With The London Symphony Orchestra Conducted By Michael Tilson Thomas
55,Kathleen Ferrier,The Keel Row,Composer: Traditional
56,Johann Sebastian Bach,Bach - Prelude To Cello Suite No.1 In G,Artist: Jacqueline Du Pre
57,Diana Ross,Ain't No Mountain High Enough,Composer: Nickolas Ashford/valerie Simpson
58,Bob Marley,Is This Love,Composer: Marley
59,A-ha,Take On Me,Composer: Waaktaar/furuholmen/harket
60,Whitney Houston,One Moment In Time,Composer: Hammond/bettis
61,Lauryn Hill,To Zion,Composer: Hill
62,Jls,She Makes Me Wanna,"Composer: Jls, Beatgeek, Jimmy Joker, Teddy Sky"
63,India.arie,Ready For Love,Composer: Arie/miller
64,Mariah Carey,It's Like That,Composer: Carey/dupri/seal/austin
65,Billie Holiday,All Of Me,Composer: Gerald Marks And Seymour Simons
66,Pyotr Ilyich Tchaikovsky,Overture To Swan Lake,Artist: The Russian State Symphony Orchestra Conducted By Dmitry Yablonsky
67,Richard Tauber,You Are My Heart's Delight,Composer: Lehar
68,Charlie Kunz,The Harry Lime Theme,Composer: Anton Karas
69,Paul Simon,Diamonds On The Soles Of Her Shoes,Composer: Paul Simon
70,Igor Stravinsky,The Sacrificial Dance From The Rite Of Spring,Artist: The Concertgebouw Orchestra Of Amsterdam Conducted By Colin Davis
71,Heitor Villa-lobos,The Prelude No.1 In E Minor,Artist: Andres Segovia
72,Gustav Mahler,The Ending Of Der Abschied - The Farewell From The Song Of The Earth,Artist: Christa Ludwig Fritz Wunderlich With The Philharmonia New Philharmonia Orchestras Conducted By Otto Klemperer
73,Gladys Knight The Pips,Midnight Train To Georgia,Composer: J Weatherly
74,Elvis Presley,Don't Be Cruel,Composer: Blackwell/presley
75,Ethel Merman,You're Just In Love From The Film Call Me Madam,Composer: Irving Berlin
76,Giacomo Puccini,"Oh, My Beloved Father",Artist: Joan Hammond
77,Stevie Wonder,You Are The Sunshine Of My Life,Composer: Stevie Wonder
78,Huey Lewis The News,The Power Of Love,Composer: Lewis
79,Gary Shearston,I Get A Kick Out Of You,Composer: Porter
80,Louis Armstrong,La Vie En Rose,Composer: Piaf/louiguy
81,Van Morrison,Brown Eyed Girl,Composer: Van Morrison
82,Topol,"Sunrise, Sunset",Composer: Jerry Bock/ Sheldon Harnick
83,Bob Marley,One Love,Composer: Bob Marley
84,"Martin Luther King, Jr.",I Have A Dream,Composer: Martin Luther King
85,Buddy Holly,Raining In My Heart,Composer: B F Bryant
86,"Karl Daymond, Accompanied By Alan Mills",Danny Boy,Composer: Trad.
87,T P Mckenna,When You Are Old,Composer: Wb Yeats
88,Red Dragon,Compliments On Your Kiss,Composer: L.may/g.harris/s.dunbar
89,The Beach Boys,Surfin' Us,Composer: Berry/wilson
90,Jacques Brel,Amsterdam,Composer: Jacques Brel
91,Emma Kirkby,Columba Aspexit From A Feather On The Breath Of God,Composer: Abbess Hildegard Of Bingen
92,Joan Baez,The Trees They Grow So High,Composer: Traditional
93,The Judds,Why Not Me,"Composer: Harlan Howard, Sonny Throckmorton, And Brent Maher"
94,Original Cast Recording,Slap That Bass From Crazy For You,Composer: George And Ira Gershwin
95,Jonathan Dove,Tobias And The Angel,Artist: Darren Abrahams And James Laing With The Young Vic Chorus Ensemble Conducted By David Charles Abell.
96,Mandy Patinkin,Finishing The Hat,Composer: Stephen Sondheim
97,Willard White,Lazy Bones,Composer: Hoagy Carmichael/ Johnny Mercer
98,Clinton Ford,Dance With A Dolly (with A Hole In Her Stocking),"Composer: Shand, Eaton, Leader"
99,Alison Krauss,Down To The River To Pray,Composer: Traditional
100,Wolfgang Amadeus Mozart,Soave Sia Il Vento,"Artist: Delores Ziegler, Dale Duesing And Claudio Desderi With The London Philharmonic Orchestra Conducted By Bernard Haitink"
101,Buddy Holly,True Love Ways,Composer: Petty/holly
102,Antonio Vivaldi,Domine Fili Unigenite,Artist: The New Philharmonia Chorus Orchestra Conducted By Riccardo Muti
103,Herbie Hancock,Imagine,Composer: John Lennon
104,Hugh Laurie,St James Infirmary,Composer: Trad/primrose)
105,Corinne Bailey Rae,Que Sera Sera,Composer: Jay Livingston And Ray Evans
106,Bob Dylan,All Along The Watchtower,Composer: Bob Dylan
107,Dinah Washington,You're Nobody Till Somebody Loves You,Composer: Larry Stock/russ Morgan/james Cavanagh
108,Bob Marley,Natural Mystic,Composer: Bob Marley
109,Vincenzo Bellini,Casta Diva (from Norma),Artist: Joan Sutherland
110,Tina Turner,The Best,Composer: H Knight/m Chapman
111,Ali Farka Toure,Bonde,Composer: Toure
112,Jan Garbarek,Parce Mihi Domine,Composer: Christobal De Morales
113,Ludwig Van Beethoven,Symphony No. 3 In E Flat Major 'eroica',Artist: Vienna Philharmonic Conducted By Leonard Bernstein
114,Frank Sinatra,Well Did You Evah?,Composer: Cole Porter
115,Ian Charleson,Full Fathom Five,Composer: Guy Woolfenden
116,Sergei Sergeyevich Prokofiev,Dance Of The Knights (from Romeo And Juliet),Artist: The London Symphony Orchestra Conducted By Andre Previn
117,Jackson Scott And His Band Mano De Dios,Volveras,Composer: Roberto Ares Mano De Dios
118,Fred Astaire,Let's Face The Music And Dance,Composer: Irving Berlin
119,Franz Schubert,Fantasie For Piano For Four Hands In F Minor,Artist: Evgeny Kissin And James Levine
120,Nina Simone,My Baby Just Cares For Me,Composer: Walter Donaldson/ Gus Kahn
121,Frank Sinatra,High Hopes,Composer: J Van Heusen/s Cahn
122,Ska Toons,I'm In The Mood For Love,Composer: Fields Mchugh
123,Georgie Fame,Yeh Yeh,Composer: Grant-patrick-hendricks
124,St. Paul's Cathedral Choir,Dear Lord And Father Of Mankind,Composer: Hubert Parry
125,Martin Phipps,The Theme For Small Island Television Series,Composer: Martin Phipps
126,Bob Marley,Redemption Song,Composer: B Marley
127,Al Green,Let's Stay Together,Composer: Mitchell/green/jackson
128,Gossip,Heavy Cross,Composer: Gossip
129,Nina Simone,Strange Fruit,Composer: L. Allen
130,Calvin Harris,Merrymaking At My Place,Composer: Calvin Harris (wiles)
131,The Velvet Underground,White Light/white Heat,Composer: Lou Reed
132,Fever Ray,When I Grow Up,Composer: Fever Ray
133,Nino Rota,La Passerella From The Film 8 1/2,Artist: Riccardo Muti And The Original Film Soundtrack
