1;"Maya Angelou";"I Know Why The Caged Bird Sings"
2;;"Reader's Digest - The Most Amazing Gardens In Britain And Ireland"
3;;"A Book On Practical Survival."
4;;"100 Masterpieces Of Art"
5;;"Staying Alive: Real Poems For Unreal Times"
6;;"A Large Anthology Of Poetry"
7;"Oprah Winfrey";"Oprah: An Autobiography"
8;;"A Special Compilation Of All Of David Attenborough's Books"
9;;"Maritime Intelligence And Publications"
10;"Nicholas Albery";"A Poem For The Day"
11;"Anthony Trollope";"The Eustace Diamonds"
12;"Georgette Heyer";"Cotillion"
13;"Jane Austen";"Pride And Prejudice"
14;"Isabella Bird";"Complete Works - Isabella Bird"
15;;"Roget's Thesaurus"
16;"Leo Tolstoy";"War And Peace"
17;"Sophie Parkin";"The History Of The Colony"
18;;"The Larousse French/english Dictionary"
19;"Stephen Sondheim";"Finishing The Hat"
20;;"An Anthology Of British Poetry"
21;;"The Brewer's Dictionary Of Phrase And Fable"
22;"Dame Daphne Du Maurier";"Rebecca"
23;"Daisaku Ikeda";"Lecture On The Heritage Of The Ultimate Law Of Life"
24;;"A Copy Of Chinese Dictionary Cihai, (which Means Sea Of Words) From The 1930s"
25;"Giuseppe Di Lampedusa";"The Leopard"
26;"Bruce Chatwin";"The Songlines"
27;"Graham Linehan";"The Complete Works"
28;"F. Scott Fitzgerald";"The Complete Works"
29;;"Biggest Book Of Poetry Available"
30;"George Grossmith";"The Diary Of A Nobody"
31;"A.a. Milne";"Winnie The Pooh"
32;"Benjamin Hall Kennedy";"Kennedy's Latin Primer"
33;;"Kennedy's Latin Primer"
34;"Homer";"The Odyssey"
35;"Olaf Stapledon";"Star Maker"
36;"Jerome K Jerome";"Three Men In A Boat"
37;"Marjorie Caygill";"Treasures Of The British Museum"
38;"Rumi";"Works"
39;;"A Bound Version Of Her Children's (and Their Cousins') Prose And Poems."
40;"Wendy Cope";"Poem For The Day"
41;"John 'lofty' Wiseman";"Sas Survival Handbook"
42;"James Joyce";"The Collected Works"
43;"Louisa May Alcott";"Little Women"
44;"Dorothy Hartley";"Food In England"
45;"Raine Maria Rilke";"Letters To A Young Poet"
46;"Dorothy Dunnett";"The Lymond Novels"
47;"Alan Bennett";"Untold Stories"
48;"Homer";"The Iliad"
49;"Hafiz";"Collected Poems"
50;"Hamlyn";"Larousse Gastronomique"
51;"Harper Lee";"To Kill A Mocking Bird"
52;"Charles Dickens";"Little Dorrit"
53;"Oscar Wilde";"The Selfish Giant"
54;"Walter Scott";"The Complete Works"
55;"Virgil";"Aeneid"
56;"Victor Hugo";"Les Miserables"
57;;"Four Volumes Of The London Telephone Directory"
58;;"Volumes Of Architectural And Historical Surveys Of London"
59;"Eckhart Tolle";"Power Of Now"
60;;"An Anthology Of 20th Century European Poetry"
61;;"A Very Large Catalogue"
62;"John Hunter";"The Case Books"
63;"Apsley Cherry-garrard";"The Worst Journey In The World"
64;"Charles Dickens";"A Big Book"
65;"Arthur Marshall";"The Collected Works"
66;"Ted Hughes";"The Rattlebag: An Anthology Of Poetry"
67;"Thomas Hardy";"The Collected Works"
68;"Paulo Coelho";"The Alchemist"
69;;"The Koran"
70;"Wu Cheng'en";"Sai-yu-ki (monkey: Journey To The West)"
71;;"A Huge Atlas"
72;"Anthony Powell";"Dance To The Music Of Time"
74;"James Joyce";"Ulysses"
75;;"Complete Encyclopaedia Britannica"
76;"Walter De La Mare";"Desert Islands: An Anthology"
77;"Jean Paul Sartre";"Being And Nothingness"
78;"Jamie Oliver";"Jamie's Dinners"
79;"Marcel Proust";"Remembrance Of Things Past"
80;"Aldous Huxley";"Three Novels"
82;;"A Biography Of Audrey Hepburn"
83;;"A Reference Book On The Natural History Of The Island"
84;"John Milton";"Complete Works"
86;"W B Yeats";"Collected Poems"
87;;"A Set Of Encyclopaedias"
88;"Richmal Crompton";"The Complete Works Of Just William"
89;"C S Lewis";"The Lion, Witch And The Wardrobe"
90;"Katherine Mansfield";"The Collected Works"
91;;"A Dictionary"
92;"Thomas Mann";"The Magic Mountain"
93;;"Reading Lyrics - American Songs 1900-1975"
94;;"A Book On Astronomy"
95;;"a Book Which Is In My Head About My Brother"
96;"Bill Bryson";"A Short History Of Nearly Everything"
97;"William Faulkner";"Her Favourite Works"
98;;"Primer To Learn Italian And Tape"
99;"Captain Cook";"Journals"
100;"Ted Hughes";"Birthday Letters"
101;;"An English Dictionary"
102;"G H R Parkinson";"Spinoza: Ethics"
103;"P G Wodehouse";"Completed Works"
104;"Emily Eden";"Semi-attached Couple"
105;"David Burnie";"Animal - The Definitive Visual Guide To The World's Wildlife"
106;"Bill Travers";"On Playing With Lions"
107;"William Makepeace Thackeray";"Vanity Fair"
108;"Robert Hughes";"The Fatal Shore"
109;;"A Book To Identify Birdlife On The Island"
110;;"A Book To Learn Good English"
111;;"A Big, Beautiful Coffee Table Book Of Pictures By Impressionists"
112;"Yann Arthus-bertrand";"The Earth From The Air"
113;;"Blank Book"
114;;"Book On Tropical Fish To Identify Them"
115;"Dante Alighieri";"Divine Comedy"
116;"Charles Dickens";"David Copperfield"
117;"Emily Bronte";"Wuthering Heights"
118;;"Hindi-english Dictionary"
119;;"Stories From 1001 Arabian Nights - Traditional"
120;"Jane Austen";"Sense And Sensibility"
121;"Charles Ray";"World Of Wonder: 10,000 Things Every Child Should Know"
122;"Thomas Malthus";"Essay On Population"
123;"Anton Chekhov";"Collected Plays"
124;"John Le Carre";"Novels"
125;"Alan Walker";"Liszt Biography"
126;"George Eliot";"Middlemarch"
127;"John Drummond";"Speaking Of Diaghilev"
128;"Elizabeth Knowles";"The Oxford Dictionary Of Quotations"
129;"Lawrence Kelly";"Diplomacy And Murder In Tehran - Alexander Griboyedov And Imperial Russia's Mission To The Shah Of Persia."
130;"Thomas Moore";"Utopia"
131;"Thomson";"The Mabinogi (in Modern Welsh)"
132;;"Her Own Book On Venice"
133;"Peter Ackroyd";"Dickens"
