1;|N/A|
2;|An Artist's Workshop|
3;|Her Favourite Blue Jersey|
4;|An Endless Supply Of Pen And Paper.|
5;|My Clarinet|
6;|Endless Supply Of Leaf Tea, Teapot, Mug And Semi Skimmed Milk.|
7;|Sex And The City Dvd Box Set|
8;|A Torch|
9;|Tweezers|
10;|A Bespoke Statue Of Archbishop Desmond Tutu|
11;|Cappuccino Maker|
12;|Paper, Pen And Watercolours To Record The Plant Life On The Island|
13;|A Solar-powered Digital Photo Album|
14;|Flute|
15;|Mosquito Repellent|
16;|Paints And Paper|
17;|Her Entire Outfit Including Her Andrew Logan Brooch|
18;|Hot Water Bottle|
19;|A Bronze Sculpture By Giles Penny|
20;|A Solar Powered Word Processor|
21;|A Cut Glass Crystal Chandelier With Candles.|
22;|Eau De Soir Perfume By Sisley|
23;|Omamori Gohonzon|
24;|The War Memorial Outside Euston Station|
25;|Extra Virgin Oil|
26;|A Photo Album Of All My Family|
27;|Life-size Laminated Photo Of James Caan From Dragons' Den|
28;|Cyanide Pill|
29;|Pen And Paper|
30;|Grand Piano And A Stool|
31;|Mother And Child By Henry Moore|
32;|Shotgun|
33;|Shiny White Paper And Felt Pens|
34;|A Saucepan - Heavy Bottomed With A Removable Handle|
35;|A Telescope|
36;|A Scrabble Board|
37;|The Elgin Marbles|
38;|A Set Of Different Fragrances From The People I Love'|
39;|A Luxurious Bathroom|
40;|A Piano|
41;|A Fluffy Purple Worm (which Has Been Taken Everywhere)|
42;|An Abundance Of Paper And Pencils|
43;|Yellow Lamborghini|
44;|Ink And A Pen|
45;|Wise Potato Chips|
46;|A Bath|
47;|A Lot Of Paper And Pencils|
48;|A Rose Bush|
49;|Notebook And Pens|
50;|A Private Screening Room With Movies|
51;|A Flush Toilet|
52;|A Jar Of Hellman's Mayonnaise|
53;|Strings And Strings Of False Pearls|
54;|Typewriter And Paper|
55;|Lots Of Champagne And Pistachio Nuts|
56;|The Crown Jewels|
57;|A Nice Bed With Comfortable Mattress, Sheets Mosquito Net.|
58;|Suncream|
59;|An Open-air Cinema With A Selection Of Films|
60;|A Complete Artist's Set|
61;|Pens And Paper|
62;|Old-fashioned Diary With Pens|
63;|My Own Pillow|
64;|A Bumper Book Of Suduko With Blank Pages Pens|
65;|Cinema Organ|
66;|Large Supply Of Pencils And Pens|
67;|A Barrel Of Guerlain Jicky Perfume|
68;|A Huge Basket Of Fruit|
69;|My Life For The Next Thirty Years|
70;|Video Camera And Film|
71;|Specially-commissioned John Ward Painting Of Family Friends|
72;|A Church Organ|
73;|A Bar Of Soap|
74;|Vault Of A Very Good White Wine|
75;|Cristal Champagne|
76;|Her Grand Piano|
77;|Family Photographs|
78;|A Yoyo|
79;|An Endless Supply Of Tissues|
80;|Piano|
81;|A Snorkel And Polaroids|
82;|Eye Lash Curler|
83;|Ink, Pen, Paper And Correction Fluid|
84;|Continuous Supply Of Very Cold Dry White Wine|
85;|Pc Linked To The Internet|
86;|Bbc Computer|
87;|Large Supply Of Chocolate|
88;|A Wine Cellar From All Soul's, Oxford|
89;|Coffee|
90;|A Fairground Carousel|
91;|Karaoke Machine|
92;|A Huge Bed|
93;|An Ice Cream Maker|
94;|Modelling Clay And Tools|
95;|Photo Album Of My Family|
96;|A Machine To Distil Whatever Is There|
97;|Negligee|
98;|Olive Oil|
99;|Solar-powered Shower|
100;|Fragrant Body Cream|
101;|A Pen Which Would Never Run Out|
102;|An Enormous Amount Of Garlic With A Garlic Press|
103;|Nightdress Made Of Pure White Cotton|
104;|Language Tapes To Learn Italian And Swahali|
105;|Writing Materials|
106;|Her Own Bed|
107;|Yes Minister And Yes Prime Minister Videos|
108;|Ipod|
109;|Bath With Soap And Towels|
110;|A Cup Of Jasmine Tea|
111;|Pencils And Thick Paper To Write And Draw On|
112;|Chaise Longue With A Mosquito Net Attached|
113;|A Karaoke Machine|
114;|A Library|
116;|Liquid Temazepam "...to Give Me The Possibility Of A Very Pleasant Exit"|
117;|Bag Of Eye Make-up, Especially Mascara|
118;|Family Photograph Album|
119;|A Huge Vat Of Culpepers Rose Geranium Bath Salts|
120;|A Pair Of Mules By Christian Louboutin|
121;|A Solar-powered Vibrator|
122;|Recordings Of Her Daughter And "her Love" Reading Self-written Stories And Poetry|
123;|An Endless Supply Of Notebooks And Pens|
124;|A Big Hat With A Lot Of Muslin|
125;|Pencils And Paper|
126;|Claret|
127;|The Perfume Knowing By Estee Lauder|
128;|Perfume|
129;|Van Gogh's Irises|
130;|An Orange Tree|
131;|Tapestry Making Kit|
133;|Astronimical Telescope With 'catalogue Of Nebulae'|
134;|Bbc Radio 5 Live|
135;|A Notebook And Pencil|
136;|Red Lipstick|
137;|The Full Collection Of Ordnance Survey Maps Of The British Isles|
138;|A Snorkelling Suit With Prescription Goggles|
139;|Egg Tempura Paints, Brushes, And Boards To Paint On|
140;|Box Of Watercolour Paints|
141;|Swedish Wooden Horse|
142;|Unlimited Supply Of Sun Block (nicely Scented)|
143;|Clockwork Radio Tuned To Radio 4|
144;|Downy Pillow|
145;|Pencil And Paper|
146;|Oil Paints And Brushes|
147;|Banjo With Plastic Head With An Inexhaustible Supply Of Strings Pegs|
148;|Painting By Maurice Cockerill - Ariadne's Thread|
149;|Endless Supply Of Coffee|
150;|Five Juggling Balls|
151;|Painting By Titian: Bacchus Ariadne|
152;|A Trowel For Digging|
153;|Book On How To Sketch And Some Paper And Pens|
154;|Rollercoaster|
155;|Pen And Unlimited Paper|
156;|Solar Laptop|
157;|Roses|
158;|A Garden|
159;|Grand Piano (and Music Scores)|
160;|Cat Food|
161;|Wind-up Radio|
162;|Ballroom And Robotic Dance Instructor|
163;|Tea Service With Tea|
164;|Varieties Of Tea And A Tea-making Outfit|
165;|(hot) Shower|
166;|Radio To Listen To The World Service|
167;|To Be Missed By The People She Loves|
168;|A Globe|
169;|Cigarettes And Whisky|
170;|A Chaise Longue By A Window|
171;|Paper And Pens (with Thick Nibs)|
172;|An Atkinson Grimshaw Painting|
173;|Sun Block|
174;|Jaguar Xk8|
175;|A French Restaurant In Full Working Order|
176;|A Handful Of Cannabis Seeds|
177;|The Man With A Glove Painting By Titian|
178;|Basil Brush Films And Projector|
179;|A Very Comfortable Sofa|
180;|Goose Down Duvet|
181;|Rosary Beads|
182;|Word Processor|
183;|Family Photo Album|
184;|Photo Of An Irish Cottage|
185;|Sampler To Record The Noises Of The Island|
186;|Solar-powered Refrigerator Full Of Champagne|
187;|Big Bag Of Plaster To Make Heads Of Friends|
188;|A Bed|
189;|An Endless Supply Of Curry|
190;|Teddy Bear Stuffed With Tea And Lily Of The Valley|
191;|Teddy Bear Stuffed With Tea Bags|
192;|Tribute Heads By Elisabeth Frink|
193;|Toothbrush And Toothpaste|
194;|Cellar Of Wines And A Corkscrew|
195;|A Widow's Cruse Filled With Whisky|
196;|Four-poster Bed|
197;|Cannabis Seeds|
198;|Cello|
199;|Tea In Abundance|
200;|Enormous Cookery Book|
201;|Painting Kit (easel, Oils, Brushes)|
202;|Jar Of Vegemite|
203;|Shampoo|
204;|Peanuts And Treats To Tame Animals And Birds|
205;|The Barnes Collection (paintings)|
206;|Triple-folding Screen And Personal Photographs|
207;|Dark Room, Film And Camera|
208;|Make-up Kit|
209;|An Endless Team Of Man Fridays!|
210;|Her Piano|
211;|A Very Large Set Of Solar-powered Hair Rollers|
212;|Hot Lemon Flannels (as Provided In Chinese Restaurants)|
213;|Madame Rochas Scent|
214;|Television Set|
215;|Tapestry To Make|
216;|Pen From Aspreys With Attached Magnifying Glass|
217;|Plain Paper, Plastic Folders And Ballpoint Pens|
218;|A Supply Of Embroidery|
219;|Laptop Computer|
220;|Unlimited Supply Of A4 White Paper Cartridges For Fountain Pen|
221;|Toilet Bag Full Of Skin-barrier Creams|
222;|A Gilabra (cloak Of Gold)|
223;|Mouth Organ|
224;|A Case Of Krug Champagne|
225;|Watercolours For Painting|
